"","actors_who_need_to_take_action","agents_of_change","call_to_action","cc_id","created_at","created_by","duration_of_problem","escalate_problem_to_govt_officials","flagged_issue","government_program_details","id","impact_achieved_description","impact_affected_community_member_support","impact_called_govt_official","impact_cc_verification_call","impact_community_meetings_attendance_number","impact_community_meetings_done","impact_community_meetings_number","impact_contact_lawyer","impact_contact_news_media","impact_contact_politician","impact_contact_vv_staff","impact_corroboration_call","impact_corroboration_details","impact_date","impact_govt_application_filing","impact_govt_official_no_of_calls","impact_govt_official_no_of_visits","impact_govt_official_support","impact_govt_official_support_details","impact_govt_official_visit","impact_in_process","impact_needs_office_intervention","impact_other_community_member_support","impact_other_community_member_support_details","impact_plan","impact_possible","impact_problem_reporting","impact_public_grievance_mechanism_use","impact_publicize_on_social_media","impact_raised_awareness","impact_rti_application_filing","impact_steps_followed_at_local_level","impact_uid","impact_youtube_publish_date","impact_youtube_url","is_impact","issue","issue_2","issue_footage_received_from_cc_date","level_of_spread","mentor","ngo_collaboration","no_of_individuals_affected","people_impacted","people_involved","primary_affected_groups","problem_identification_by_cc","screened_to","screened_to_total_number","screening_done","screening_shared_to","screening_shared_to_total_number","screening_shared_to_total_private_sharing","screening_sharing","social_movement_work","story_pitch_date","target_official","themes","topic_identification_reason","uid","underlying_reason_of_issue","updated_at","village_name","villages_impacted","youtube_publish_date","youtube_url"
"1","department bureaucrat-district level","government official","yes",438,2021-08-11 15:22:27,"bhaskar raj","yrs or more","don't know yet","no",NA,2465,NA,"no","no",NA,0,"no",0,"no","no","no","no",NA,NA,NA,"no",0,0,"no","other officials","no","no","yes","no","others","jharkhand will sweet the chief minister and jharkhand health minister, apply to the collector, and share the video as much as possible.","yes","yes","no","yes","don't know yet","no","making a social media post, explaining the problem and showing some of the footage, screening the video in the community on the device",NA,NA,NA,FALSE,"anti poverty programs","health",2021-08-19,"block","shikha paharin","no",70000,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes",NA,NA,"no",NA,NA,NA,NA,"no",2021-08-10,"now","material problem (e.g. delivery of a service, repair of infrastructure)","they toured the block to find out what's going on","jh_5257","denial of service delivery or entitlement provision",2022-06-01 09:39:22,"satbarwa",NA,2021-08-19,"https://youtu.be/_cjwmwj1p-k"
"2","department bureaucrat-district level","government official","no",409,2021-08-13 03:47:17,"ravinder baraik","2-4 yrs","don't know yet","no",NA,2476,NA,"no","no",NA,0,"no",0,"no","no","no","no",NA,NA,NA,"no",0,0,"no","other officials","no","yes","no","no","others",NA,"yes","yes","no","yes","don't know yet","no","visiting the relevant authorities",NA,NA,NA,FALSE,"health","livelihoods",2021-08-18,"block","shikha paharin","no",50000,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes",NA,NA,"no",NA,NA,NA,NA,"no",2021-08-13,NA,"material problem (e.g. delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5259","denial of service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-06-01 09:47:22,"made",NA,2021-08-19,"https://youtu.be/mgpbfpty1jg"
"3","bdo, department bureaucrat-block level, department bureaucrat-district level","government official","yes",440,2021-10-24 08:33:47,"prashant toppo","last 1 year","sign an application","yes","national food security",2879,NA,"yes","no",NA,25,"yes",2,"no","no","no","no",NA,NA,NA,"yes",1,1,"yes","block development officer or other block officials","yes","yes","yes","yes","young people who want to help the village",NA,"yes","yes","no","yes","don't know yet","no","making a social media post, explaining the problem and showing some of the footage, sharing the edited video on social media & encouraging the relevant people to do so, screening the video in the community on the device",NA,NA,NA,FALSE,"anti poverty programs","livelihoods",2021-12-03,"tola/hamlet","graduate cc","no",50,NA,NA,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no","community members, bdo, district collector",6,6,"yes","no",2021-10-22,"bdo, mo","an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5291","denial of service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-03-30 13:01:53,"loses",NA,2021-12-08,"https://youtu.be/jgmdmsix33e"
"4","bdo, department bureaucrat-block level, department bureaucrat-district level","government official","yes",440,2021-10-24 08:33:47,"prashant toppo","last 1 year","visit a government office","yes","national food security",2879,NA,"yes","no",NA,25,"yes",2,"no","no","no","no",NA,NA,NA,"yes",1,1,"yes","block development officer or other block officials","yes","yes","yes","yes","young people who want to help the village",NA,"yes","yes","no","yes","don't know yet","no","making a social media post, explaining the problem and showing some of the footage, sharing the edited video on social media & encouraging the relevant people to do so, screening the video in the community on the device",NA,NA,NA,FALSE,"anti poverty programs","livelihoods",2021-12-03,"tola/hamlet","graduate cc","no",50,NA,NA,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no","community members, bdo, district collector",6,6,"yes","no",2021-10-22,"bdo, mo","an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5291","denial of service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-03-30 13:01:53,"loses",NA,2021-12-08,"https://youtu.be/jgmdmsix33e"
"5","b.d.o.","government official","yes",440,2021-10-24 09:59:51,"prashant toppo","last 1 year","sign an application","no","antoday card scheme",2881,NA,"yes","yes",NA,30,"yes",1,"no","no","no","no",NA,NA,NA,"no",2,0,"yes","block development officer or other block officials","no","yes","yes","no","others","show video in community and share video apply to officer","yes","yes","no","yes","told people about the problem (in person)","no","making a social media post, explaining the problem and showing some of the footage, screening the video in the community on the device",NA,NA,NA,FALSE,"livelihoods","anti poverty programs",2021-11-18,"village","graduate cc","no",80,NA,NA,"tribals, adivasi, scheduled tribe","yes","community members",10,"yes","community members, bdo, district collector",6,5,"yes","no",2021-10-23,"b.d.o.","an entitlement problem - meaning a government anti-poverty scheme that people apply for","they toured the village to find out what's going on","jh_5292","low quality service delivery of entitlement provision, caste discrimination",2022-03-30 13:01:53,"kurun",NA,2021-11-23,"https://youtu.be/gwuzpf90rtg"
"6","department bureaucrat-block level, department bureaucrat-district level","government official","no",83,2021-09-01 12:31:50,"amrita anand","last 1 year","don't know yet","no",NA,2639,NA,"yes","no",NA,25,"yes",15,"no","no","no","no",NA,NA,NA,"yes",0,1,"yes","block development officer or other block officials","yes","yes","no","no","others",NA,"yes","yes","no","yes","informed people about a government program or entitlement","no","speaking with the relevant authorities by phone, visiting the relevant authorities",NA,NA,NA,FALSE,"health","anti poverty programs",2021-09-01,"block","guruprasad pednekar","no",50000,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes","community members",25,"yes","community members",100,300,"yes","no",2021-08-01,NA,"material problem (e.g. delivery of a service, repair of infrastructure)","people called them/messaged theme on the phone","jh_5277","low quality service delivery of entitlement provision",2022-06-01 09:41:51,"chhatrutand",NA,2021-09-30,"https://www.youtube.com/watch?v=yfrlqrgme18"
"7","district collector, department bureaucrat-district level","government official","yes",83,2020-11-18 04:42:53,"amrita anand","last 1 year","sign an application","yes",NA,953,"seven-bed hospital (primary health center) built at a cost of crores at chhatrutand (mahuda) under baghmara block of district dhanbad. the hospital is ready but no facilities have been made available to the villagers and health workers. for the change of this video, halima ji took it up in the meeting of community health action team dhanbad and then got it published in social media and daily newspapers regarding the demand for restoration of doctors and health facilities. then the health action team dhanbad met the then block head smt. meenakshi gudiya rani and handed over the demand letter. the problem was put before the deputy commissioner dhanbad by the chief. chief minister jharkhand government honorable hemant soren was tweeted through twitter. then on january 17, 2021, a female doctor mrs. anika kujur was posted from ranchi. but after a few days the lady doctor left after giving her resignation letter. the problem before us remained the same. the members of the community health action team dhanbad raised the issue in a meeting again and while urging in the public interest, demanded to restore the doctors and health facilities for the proper operation of the health center. then, on behalf of the jharkhand government, three doctors were reinstated. at present, about 50,000 people are benefiting from this health center.","yes","no","yes",2,"yes",1,"no","no","no","yes","yes","no",2022-06-16,"yes",NA,3,"yes","district collector or district officials","yes","yes","no","yes","others",NA,"yes","yes","no","yes","informed people about a government program or entitlement","no","visiting the relevant authorities","jh_5075_impact",2022-07-27,"https://youtu.be/egnrlw7xhfg",TRUE,"health","anti poverty programs",2020-11-27,"panchayat","guruprasad pednekar","no",50000,50000,18,"no particular groups is affected -- the problem is cross-cutting","yes","community members, panchayat official",25,"yes","community members, department bureaucrat, ngo members or social movement activists or other community leaders",12,20,"yes","no",2020-10-15,NA,"material problem (e.g. delivery of a service, repair of infrastructure), a governance & accountability problem, where the system is not working as it should","they toured the village to find out what's going on","jh_5075","delayed service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-07-27 12:09:58,"chhatrutand",25,2020-12-28,"https://youtu.be/ub-egtftep8"
"8","district collector, department bureaucrat-district level","government official","yes",83,2020-11-18 04:42:53,"amrita anand","last 1 year","visit a government office","yes",NA,953,"seven-bed hospital (primary health center) built at a cost of crores at chhatrutand (mahuda) under baghmara block of district dhanbad. the hospital is ready but no facilities have been made available to the villagers and health workers. for the change of this video, halima ji took it up in the meeting of community health action team dhanbad and then got it published in social media and daily newspapers regarding the demand for restoration of doctors and health facilities. then the health action team dhanbad met the then block head smt. meenakshi gudiya rani and handed over the demand letter. the problem was put before the deputy commissioner dhanbad by the chief. chief minister jharkhand government honorable hemant soren was tweeted through twitter. then on january 17, 2021, a female doctor mrs. anika kujur was posted from ranchi. but after a few days the lady doctor left after giving her resignation letter. the problem before us remained the same. the members of the community health action team dhanbad raised the issue in a meeting again and while urging in the public interest, demanded to restore the doctors and health facilities for the proper operation of the health center. then, on behalf of the jharkhand government, three doctors were reinstated. at present, about 50,000 people are benefiting from this health center.","yes","no","yes",2,"yes",1,"no","no","no","yes","yes","no",2022-06-16,"yes",NA,3,"yes","district collector or district officials","yes","yes","no","yes","others",NA,"yes","yes","no","yes","informed people about a government program or entitlement","no","visiting the relevant authorities","jh_5075_impact",2022-07-27,"https://youtu.be/egnrlw7xhfg",TRUE,"health","anti poverty programs",2020-11-27,"panchayat","guruprasad pednekar","no",50000,50000,18,"no particular groups is affected -- the problem is cross-cutting","yes","community members, panchayat official",25,"yes","community members, department bureaucrat, ngo members or social movement activists or other community leaders",12,20,"yes","no",2020-10-15,NA,"material problem (e.g. delivery of a service, repair of infrastructure), a governance & accountability problem, where the system is not working as it should","they toured the village to find out what's going on","jh_5075","delayed service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-07-27 12:09:58,"chhatrutand",25,2020-12-28,"https://youtu.be/ub-egtftep8"
"9","department bureaucrat-district level","government official","yes",452,2022-08-25 06:06:41,"shikha paharin","yrs or more","sign an application","no",NA,4364,NA,"yes","no",NA,100,"yes",1,"no","no","no","no",NA,NA,NA,"yes",0,0,"no","other officials","no","yes","yes","no","others","written application has been given to the district electrical engineer","yes","yes","no","yes","don't know yet","no","making a social media post, explaining the problem and showing some of the footage, sharing the edited video on social media & encouraging the relevant people to do so, screening the video in the community on the device",NA,NA,NA,FALSE,"power & energy","anti poverty programs",2022-09-02,"village","shikha paharin","no",800,NA,NA,"muslims, women, children, youth, elderly","yes",NA,NA,"no",NA,NA,NA,NA,"no",2022-08-25,"electrical engineer","material problem (e.g. delivery of a service, repair of infrastructure), a governance & accountability problem, where the system is not working as it should","they toured the village to find out what's going on","jh_5387","low quality service delivery of entitlement provision",2022-10-07 11:33:02,"manjar",NA,2022-09-02,"https://youtu.be/xamkcm0ry_e"
"10","department bureaucrat-block level","government official","yes",86,2022-12-23 02:09:31,"beena bharti","last 3 months","sign an application","no","chief minister jan jal yojana",5057,NA,"yes","yes",NA,20,"yes",2,"no","no","no","no",NA,NA,NA,"no",3,0,"yes","block development officer or other block officials","no","yes","yes","no","others",NA,"yes","yes","no","yes","told people about the problem (in person)","no","making a social media post, explaining the problem and showing some of the footage, screening the video in the community on the device",NA,NA,NA,FALSE,"water","anti poverty programs",2022-12-25,"village","shikha paharin","no",250,NA,NA,"women, no particular groups is affected -- the problem is cross-cutting","yes",NA,NA,"no","community members",NA,NA,"yes","no",2022-12-20,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","people came to him with their problems","jh_5441","low quality service delivery of entitlement provision",2023-01-18 12:22:35,"navdiha",NA,2022-12-26,"https://youtu.be/e4uyekkrxxs"
